Location;Latitude;Longitude;Size;Soil;SoilType
SIC_9_0;46.895780088442166;23.852519987126247;60;Faeoziom;4
SIC_22_1;46.89977335360845;23.853711050877934;60;Faeoziom;10
SIC_24_2;46.9008253208072;23.85769590167682;40;Faeoziom;10
SIC_1_3;46.90516304893566;23.855882280648704;20;Regosol;0
SIC_2_4;46.90360396461719;23.865346385620327;100;Regosol;0
SIC_20_5;46.90227936595355;23.87160479668812;100;Gleiosol;8
SIC_6_6;46.903487134489325;23.876414547293475;100;Faeoziom;3
SIC_22_7;46.90610954461968;23.87324906341624;100;Antrosol;10
SIC_22_8;46.90905989362457;23.865566052444542;100;Antrosol;10
SIC_15_9;46.91258762719619;23.863623250680288;100;Preluvosol;7
SIC_10_10;46.91180587115025;23.86965851633985;100;Faeoziom;5
SIC_22_11;46.91446406234692;23.873409913951804;100;Antrosol;10
SIC_23_12;46.91541209364786;23.8699264322538;100;Antrosol;10
SIC_2_13;46.91341007281508;23.8769343807943;100;Regosol;0
SIC_22_14;46.91591412648805;23.863030796079215;100;Antrosol;10
SIC_18_15;46.91798467647388;23.859910790781008;100;Preluvosol;7
SIC_6_16;46.917409519078944;23.870678077776617;100;Faeoziom;3
SIC_22_17;46.91910165091795;23.868806877506405;100;Antrosol;10
SIC_22_18;46.923889653544705;23.863700401298733;100;Antrosol;10
SIC_1_19;46.92269712715586;23.857563112610727;100;Regosol;0
SIC_8_20;46.924419553061;23.87407932488038;100;Faeoziom;4
SIC_19_21;46.92173066798631;23.873265038715566;100;Gleiosol;8
SIC_22_22;46.92501242544452;23.87891603474591;100;Antrosol;10
SIC_7_23;46.92766994049953;23.864630538053103;100;Faeoziom;3
SIC_16_24;46.92893704985576;23.871524168002747;100;Preluvosol;7
SIC_18_25;46.92989176181425;23.877261846271317;100;Preluvosol;7
SIC_5_26;46.928075097916235;23.879808774711197;100;Aluviosol;2
SIC_2_27;46.93229482463951;23.86505507804261;100;Regosol;0
SIC_19_28;46.93116568974648;23.872621118068068;100;Gleiosol;8
SIC_24_29;46.93803361171936;23.870962604682653;100;Antrosol;10
SIC_15_30;46.93565828781459;23.851803876480552;100;Preluvosol;7
SIC_2_31;46.93731528611346;23.853957405056104;100;Regosol;0
SIC_8_32;46.93828612428334;23.85965195798994;100;Faeoziom;4
SIC_16_33;46.93921380617755;23.838964014604624;100;Preluvosol;7
SIC_6_34;46.94073406139455;23.84640233942195;100;Faeoziom;3
SIC_8_35;46.94918055818178;23.85758219618532;100;Faeoziom;4
SIC_18_36;46.94702624841355;23.84244953509351;100;Preluvosol;7
SIC_24_37;46.94766043166081;23.849700436911903;100;Antrosol;10
SIC_9_38;46.945886085673976;23.862872085158852;100;Faeoziom;4
SIC_17_39;46.95230033596667;23.848988550422938;100;Preluvosol;7
SIC_2_40;46.95316578627984;23.85290555666015;100;Regosol;0
SIC_24_41;46.95720587174054;23.84369232524312;100;Antrosol;10
SIC_1_42;46.95692129153832;23.85574343784574;100;Regosol;0
SIC_5_43;46.953202695501545;23.861073176602943;100;Aluviosol;2
SIC_6_44;46.95454302409732;23.864196122299123;100;Faeoziom;3
SIC_24_45;46.96002021939043;23.85541247383845;100;Antrosol;10
SIC_23_46;46.95974884851361;23.85878888467535;100;Antrosol;10
SIC_6_47;46.96182741205311;23.853133081221404;100;Faeoziom;3
SIC_1_48;46.96249841752385;23.859452741370966;100;Regosol;0
SIC_2_49;46.96147917980832;23.861509964195378;100;Regosol;0
SIC_24_50;46.95875708899092;23.863471126091408;100;Antrosol;10
SIC_2_51;46.960147322582316;23.865959078586343;100;Regosol;0
SIC_22_52;46.96197069202083;23.8637921495729;100;Antrosol;10
SIC_9_53;46.95912072097872;23.870839404333;100;Faeoziom;4
SIC_24_54;46.9602073703162;23.87618975536274;100;Antrosol;10
SIC_7_55;46.962768277127225;23.874713031965893;100;Faeoziom;3
SIC_23_56;46.96044284657677;23.88013710426973;100;Antrosol;10
SIC_9_57;46.96522167436808;23.870627888428427;100;Faeoziom;4
SIC_24_58;46.966106506300264;23.864360426923756;100;Antrosol;10
SIC_1_59;46.96731935873831;23.862300527966653;100;Regosol;0
SIC_2_60;46.96755127563455;23.86839485718004;100;Regosol;0
SIC_19_61;46.968056255737025;23.8774035318856;100;Gleiosol;8
SIC_8_62;46.96561286283426;23.881834223221638;100;Faeoziom;4
SIC_2_63;46.96966630610737;23.88955147448193;100;Regosol;0
SIC_2_64;46.963255927712225;23.8951829188481;100;Regosol;0
SIC_7_65;46.96332873624698;23.89108199434561;100;Faeoziom;3
SIC_8_66;46.96069984251287;23.88450985805121;100;Faeoziom;4
SIC_7_67;46.96132461653369;23.888192366711692;100;Faeoziom;3
SIC_2_68;46.95770422242535;23.88374547075592;100;Regosol;0
SIC_20_69;46.9550904973766;23.87469773035548;100;Gleiosol;8
